ID,Type,Titre,Résumé,ISBN,Annee,Pages,Langues,Nouveautée,Couverture-bnum,Nom auteur,Prénom Auteur,Particule - auteur,Nom auteur complet
376,Littérature française,La nuit des temps,"Dans l'immense paysage gelé, les membres des Expéditions Polaires françaises font un relevé sous-glaciaire. Un incroyable phénomène se produit : les appareils sondeurs enregistrent un signal. Il y a un émetteur sous la glace...
Que vont découvrir les savants et les techniciens venus du monde entier qui creusent la glace à la rencontre du mystère ?
""La nuit des temps"", c'est à la fois un reportage, une épopée mêlant présent et futur, et un grand chant d'amour passionné. Traversant le drame universel comme un trait de feu, le destin d'Elea et de Païkan les emmène vers le grand mythe des amants légendaires.",,1968,,eng,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=376.webp,BARJAVEL,René,,René BARJAVEL
377,Littérature française,La charrette bleue,"René Barjavel raconte son enfance dans la boulangerie provençale de ses
  parents. Au fil des pages et des souvenirs, parfois précis, parfois flous
  comme des couleurs dans la brume, nous voyons vivre un petit garçon naïf et
  ébloui, qui découvre les merveilles familières du monde. Autour de lui, c'est
  un bourg de Provence qui surgit, au temps de la Grande Guerre de 1914. Et si
  les hommes qui sont loin, au front, s'entre-tuent avec des moyens très
  modernes, à Nyons c'est encore la civilisation paysanne et artisanale qui
  subsiste, la civilisation de la main et de l'outil. Et les enfants regardent
  le charron fabriquer pièce par pièce un chef-d'œuvre : la grande charrette
  bleue qu'un paysan lui a commandée et qui va porter dans cette histoire le
  signe du destin. Mais déjà le premier aéroplane, aux ailes de toile, se pose
  dans un champ...",,1980,,fre,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=377.webp,BARJAVEL,René,,René BARJAVEL
378,Littérature française,La faim du tigre,,,1966,,fre,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=378.webp,BARJAVEL,René,,René BARJAVEL
379,Littérature française,La peau de César,"Un ancien mercenaire, blessé, se retrouve dans un futur post-apocalyptique où les survivants vivent dans une cité souterraine. Il doit affronter des êtres mutants et des complots pour sauver l'humanité.",,1985,,fre,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=379.webp,BARJAVEL,René,,René BARJAVEL
380,Littérature française,Le prince blessé,"À travers l'histoire d'un jeune homme confronté à la guerre, ce roman explore les thèmes de la fraternité et de l'amour. Il suit les amours, les deuils et les aventures du héros qui traverse l'Europe en guerre.",,1974,,fre,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=380.webp,BARJAVEL,René,,René BARJAVEL
381,Littérature française,Les chemins de Katmandou,""" Ceux qui se rendront à Katmandou ne reconnaîtront pas ce qui est
  écrit dans ce livre. [...] Ce livre ne cherche pas à donner une idée de la
  réalité, mais à s'approcher de la vérité. Celle de Jane, et celle d'Olivier,
  dont il raconte l'histoire. "" René Barjavel Olivier, étudiant en mai
  1968, a décidé de fuir la capitale, ses rêves et ses utopies pour conquérir
  pouvoir et fortune dans le sillage de son père, un homme d'affaires qui
  organise des voyages pour milliardaires à Katmandou, au Népal. En chemin, il
  rencontre la jolie Jane, hippie britannique un peu paumée, à la recherche,
  comme tant d'autres, d'un idéal de vie communautaire dans la ville sacrée.
  Ils tombent amoureux l'un de l'autre... Amours, drogues, illusions perdues.
  Il est des chemins pour se perdre ou pour se retrouver : les chemins de
  Katmandou. Un grand classique de Barjavel.",,1969,,fre,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=381.webp,BARJAVEL,René,,René BARJAVEL
382,Science-fiction,Colomb de la lune,"Après une apocalypse nucléaire, quelques survivants se retrouvent dans une station lunaire. Ils doivent redécouvrir l'amour et la vie, tout en cherchant un moyen de retourner sur Terre.",,1962,,fre,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=382.webp,BARJAVEL,René,,René BARJAVEL
384,Science-fiction,Le diable l'emporte,"Dans un futur lointain, l'humanité est soumise à une force mystérieuse qui la pousse à se reproduire sans cesse. Un groupe de scientifiques se bat pour découvrir l'origine de ce mal et sauver l'espèce humaine.",,1959,,fre,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=384.webp,BARJAVEL,René,,René BARJAVEL
385,Science-fiction,Le grand secret,"Une guerre mondiale menace de détruire l'humanité. Un groupe de scientifiques découvre un secret qui pourrait inverser le cours de l'histoire, mais ce secret est plus dangereux que la guerre elle-même.",,1973,,fre,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=385.webp,BARJAVEL,René,,René BARJAVEL
386,Science-fiction,Ravage,"La chute d’une civilisation. La naissance d’un dictateur. Suite au
  cataclysme, privée de ses technologies, l’humanité est retournée à l’état
  sauvage. Elle est devenue inhumaine. François, lui-même, n’hésite désormais
  plus à accomplir les pires actes pour assurer sa survie et la protection des
  siens qui voient en lui un nouveau leader. Mais quel chemin leur propose-t-il
  ? Car en parcourant ce Paris en ruines, François se demande si la catastrophe
  ne serait pas une juste punition pour cette humanité aveuglée par le progrès.
  Ce concept va peu à peu s’insinuer en lui jusqu’à devenir une idéologie... et
  la vision du monde qu’il offrira à l’humanité pour le futur. Jean-David
  Morvan et Rey Macutay concluent leur adaptation moderne et spectaculaire du
  classique intemporel de Barjavel !",,1943,,fre,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=386.webp,BARJAVEL,René,,René BARJAVEL
387,Science-fiction,Le royaume des devins,"Dans une cité imaginaire, les habitants sont tourmentés par un oracle. Un groupe de héros, confronté à des forces surnaturelles, doit trouver un moyen de vaincre la prophétie et de libérer le royaume de l'emprise de l'oracle.",,1989,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=387.webp,BARKER,Clive,,Clive BARKER
388,Littérature étrangère,Les écorchés vifs,"Les obsessions. L’histoire. La folie. Dans cette histoire de fantôme
  contemporaine, le passé médiéval prend visage humain et vient hanter les
  arrière-cours de la petite ville d’Ashford, semant le chaos dans les vies
  qu’elle croise sur son chemin. Dans un roman démesuré comme la folie, où
  l’humour féroce le dispute à la précision absolue de l’écriture, l’art de
  Nicola Barker confine au génie.",9782330038281,2014,1052,fr,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=388.webp,BARKER,Nicola,,Nicola BARKER
389,Ethnographie / Biographie,Le retour de l’anthropologue,"Spécialiste de l'Afrique de l'Ouest
  et du Nord, Nigel Barley a rejoint le British Museum en 1981 après son
  premier voyage chez les Dowayos (""Un anthropologue en déroute"").
  Récit de son deuxième voyage, entrepris lorsqu'il apprend quec es Dowayos
  reprennent une très ancienne cérémonie de circoncision.",,2021,,fre,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=389.webp,BARLEY,Nigel,,Nigel BARLEY
390,Ethnographie / Biographie,Un anthropologue en déroute,"Un ethnologue britannique raconte avec humour ses mésaventures au Cameroun, où il tente d'étudier les Dowayos. Entre malentendus culturels et désillusions, il dresse un portrait ironique de son métier.",9782228914529,2016,270,fr,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=390.webp,BARLEY,Nigel,,Nigel BARLEY
391,Psychologie,La peur et les animaux,"Cet ouvrage explore la peur, une émotion universelle. Il décrit comment les animaux perçoivent le danger, comment ils s'adaptent et comment ils développent des stratégies pour survivre face à leurs prédateurs.",,1982,,fre,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=391.webp,BARLOY,Jean-Jacques,,Jean-Jacques BARLOY
392,Politique,Lettre d'un ami israélien à l'ami palestinien,"Élie Barnavi, historien et diplomate, partage son point de vue sur le conflit israélo-palestinien. Il explique, à travers cette lettre, les raisons de la guerre et plaide pour une solution pacifique et juste.",,1988,,fre,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=392.webp,BARNAVI,Elie,,Elie BARNAVI
393,Littérature étrangère,Le perroquet de Flaubert,"Un critique littéraire britannique, veuf, part en voyage en Normandie sur les traces de Flaubert. Il enquête sur l'identité d'un perroquet empaillé qui aurait appartenu à l'écrivain, et s'interroge sur le rôle de la biographie.",,1986,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=393.webp,BARNES,Julian,,Julian BARNES
394,Littérature étrangère,"Love, etc.",,,1994,,fre,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=394.webp,BARNES,Julian,,Julian BARNES
395,Littérature étrangère,Quelque chose à déclarer,"Dix-sept chapitres dans lesquels J. Barnes déclare son amour pour la
  France, un amour indéfectible qui touche tous les domaines, depuis la
  cuisine, en passant par le sport, la chanson jusqu'à la littérature.",,2004,436,fr,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=395.webp,BARNES,Julian,,Julian BARNES
396,Art,"La peinture moderne, qu'est-ce que c'est ?","Ce livre est une introduction à l'art moderne. Il explique les origines du mouvement et présente les différents styles artistiques, comme le cubisme, le surréalisme et l'expressionnisme.",9782711828067,1993,118,fr,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=396.webp,BARR,"Alfred H., Jr",,"Alfred H., Jr BARR"
397,Art,Saisir le présent,"Mémoires de l'acteur et metteur en scène Jean-Louis Barrault, qui raconte son parcours artistique. Il évoque ses rencontres, ses créations et sa vision du théâtre, en insistant sur l'importance de vivre l'instant présent.",,1984,,fre,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=397.webp,BARRAULT,Jean-Louis,,Jean-Louis BARRAULT
398,Spiritualité,De l'Islam en général et du monde moderne en particulier,"Jean-Claude Barreau a beaucoup
  voyagé dans les pays musulmans, du Maroc au Pakistan, de l’Iran au Yémen. Il
  fut, dans une vie antérieure, théologien, puis éditeur. Directeur, entre 1982
  et 1984, de la Coopération française en Algérie, il est aujourd’hui Inspecteur
  général de l’Éducation nationale. Il est aussi président de l’OMI (Office des
  migrations internationales), et de l’INED (Institut national d’études
  démographiques).",,1991,,fre,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=398.webp,BARREAU,Jean-Claude,,Jean-Claude BARREAU
399,Littérature française,La colline inspirée,"This work has been selected by scholars as being culturally important,
  and is part of the knowledge base of civilization as we know it. This work is
  in the ""public domain in the United States of America, and possibly
  other nations. Within the United States, you may freely copy and distribute
  this work, as no entity (individual or corporate) has a copyright on the body
  of the work. Scholars believe, and we concur, that this work is important
  enough to be preserved, reproduced, and made generally available to the
  public. We appreciate your support of the preservation process, and thank you
  for being an important part of keeping this knowledge alive and relevant.",,1912,,fre,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=399.webp,BARRES,Maurice,,Maurice BARRES
400,Histoire,Ils voyageaient la France,"Deux hommes parcourent la France à pied, à la rencontre des habitants. Ce récit est un hymne à la ruralité, à la vie simple et aux paysages de la France profonde.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=400.webp,BARRET P. et GURGAND J.N.,P. et GURGAND J.N.,,P. et GURGAND J.N. BARRET P. et GURGAND J.N.
401,Histoire,Priez pour nous à Compostelle,"Du dixième au dix-huitième siècle,
  parmi les millions de pèlerins qui ont accompli le pèlerinage à
  Saint-Jacques-de-Compostelle, une quinzaine seulement ont laissé un récit ou
  un itinéraire. Ayant résolu de nous restituer ce que pouvait être pour les
  pèlerins l'expérience d'un tel pèlerinage, Pierre Barret et Jean-Noël Gurgand
  ont fouillé ces documents et divers travaux de recherches. De plus, ils ont
  voulu refaire eux-mêmes, à pied, de Vézelay à Compostelle, l'un des chemins
  parcourus jadis par les pèlerins. Le récit plein de verve qu'ils en ont tiré
  nous fait revivre la vie quotidienne des ""jacquets"", ses périls,
  ses harassements, ses maux de pieds, mais aussi ses découvertes, ses
  rencontres et son accomplissement. A la fin, les auteurs ont reproduit leur
  propre journal de voyage. Bibliographie très fouillée.",9782253023999,1978,415,fr,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=401.webp,BARRET P. et GURGAND J.N.,P. et GURGAND J.N.,,P. et GURGAND J.N. BARRET P. et GURGAND J.N.
402,Littérature étrangère,Peter Pan,,,1911,,por,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=402.webp,BARRIE,James M.,,James M. BARRIE
403,Policier suspens thriller,Les soupers assassins du Régent,"A la mort de Louis XIV, le Régent, Philippe II d'Orléans, sous
  l'influence des Marivaux, Watteau ou Campra, organise régulièrement au
  Palais-Royal des soupers fins. La révolution culinaire française est en
  marche : mode des jardins, passion pour les fruits et légumes jusqu'alors
  décriés, arrivée de la pomme de terre, engouement pour les eaux parfumées,
  liqueurs, vins blancs et rosés pétillants.",,2009,,fre,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=403.webp,BARRIERE,Michèle,,Michèle BARRIERE
404,Policier suspens thriller,Meurtre au café de l’Arbre Sec,"Un inspecteur parisien enquête sur un meurtre qui a eu lieu au Café de l'Arbre Sec. Le récit, très rythmé, plonge le lecteur dans une atmosphère de suspense et de mystère.",,2010,,fre,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=404.webp,BARRIERE,Michèle,,Michèle BARRIERE
405,Policier suspens thriller,Souper mortel aux étuves,"Paris, 6 janvier 1393. Messire Jehan est retrouvé la gorge tranchée dans
  des étuves mal famées de la rue Tirechappe. Constance n'a alors qu'une seule
  idée : venger son mari. Elle se fait embaucher comme cuisinière par Isabelle
  la Maquerelle - la patronne des étuves. Elle doit affronter l'irascible
  Guillaume, - cuisinier à la cour du roi -, qui arrondit ses fins de mois aux
  étuves. Leurs joutes culinaires deviennent vite l'attraction majeure du
  quartier de la Grande Boucherie. A la cour de Charles VI, après le tragique
  épisode du Bal des Ardents, elle rencontre le célèbre cuisinier Taillevent,
  auteur du Viandier, - le premier best-seller gastronomique. Malgré les
  embûches, Constance mène l'enquête et utilise ses talents culinaires pour
  obtenir des informations.C'est à Bruges, sur la piste des assassins de son
  mari, qu'elle rencontrera l'amour ! Mais pourra-t-elle échapper au piège
  mortel qui lui est tendu et confondre ses ennemis ? Souper mortel aux étuves
  plonge le lecteur au cœur du P",9782253178613,2014,225,fr,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=405.webp,BARRIERE,Michèle,,Michèle BARRIERE
406,Histoire,La vie intellectuelle en Francedu 16ème siècle à l'époque contemporaine,"Cet ouvrage est une histoire de la vie intellectuelle en France depuis le XVIe siècle. Il analyse l'évolution de la pensée, des idées, et des débats qui ont marqué les différentes époques.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=406.webp,BARRIERE,Pierre,,Pierre BARRIERE
407,Littérature étrangère,L'enfant qui devint fou d'amour,"L'enfant qui devint fou d'amour est le journal intime d'un enfant que sa
  passion pour une femme, la belle Angelica, mène à la folie. Publié en 1915,
  ce court roman, d'une rare sensibilité et d'une grande tendresse, décrit de
  façon implacable les étapes de la démence qui s'empare de cet enfant : les
  insomnies, l'apathie, la douleur physique, les hallucinations et l'hystérie.
  On retrouve l'univers de Barrios dans Pauvre laid !, la chronique épistolaire plus amère que douce - des amours impossibles d'un jeune homme disgracié.",,2000,,fre,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=407.webp,BARRIOS,Eduardo,,Eduardo BARRIOS
408,Biographie,Massoud –De l’islamisme à la liberté,"Le commandant Massoud, surnommé le Lion du Panshir, incarne la résistance
  des Afghans à l'invasion soviétique (1979-1989). Il a su ensuite s'opposer
  aux talibans et à un islam rétrograde. L'auteur dépeint l'homme et son
  évolution vers un islam libéral et son action pour défendre son pays et
  l'ouvrir au monde.",,2002,312,fr,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=408.webp,BARRY,Michael,,Michael BARRY
409,Littérature étrangère,Annie Dunne,,,2002,,eng,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=409.webp,BARRY,Sebastian,,Sebastian BARRY
410,Littérature étrangère,Le testament caché,"Roseanne McNulty a cent ans ou, du moins, c'est ce qu'elle croit. Elle a
  passé plus de la moitié de sa vie dans l'institution psychiatrique de
  Roscommon, où elle écrit en cachette l'histoire de sa jeunesse, lorsqu'elle
  était encore belle et aimée. I'hôpital est sur le point d'être détruit, et le
  docteur Grene, son psychiatre, doit évaluer si Roseanne est apte ou non à
  réintégrer la société. Pour cela, il devra apprendre à la connaître, et
  revenir sur les raisons obscures de son internement. Au fil de leurs
  entretiens, et à travers la lecture de leurs journaux respectifs, le lecteur
  est plongé au coeur de l'histoire secrète de Roseanne, dont il découvrira les
  terribles intrications avec celle de l'Irlande. À travers le sort tragique de
  Roseanne et la figure odieuse d'un prêtre zélé, le père Gaunt, Sebastian
  Barry livre ici dans un style lumineux un roman mystérieux et entêtant.",9782070440207,2011,409,fr,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=410.webp,BARRY,Sebastian,,Sebastian BARRY
411,Littérature étrangère,Les tribulations d'Eneas Mc Nulty,"Né en 1900 à Sligo, en Irlande,
  Eneas est l'aîné d'une famille de quatre enfants. Ivre de liberté, il
  s'éloigne d'un foyer devenu trop étouffant pour faire son apprentissage dans
  la rue, en compagnie du "" capitaine de son enfance "", Jonno, Lynch
  et de la délurée Tuppenny Jane. A seize ans, rattrapé par ses démons, il part
  pour l'aventure. Pris dans les tourmentes du XXe siècle, pourchassé par
  l'IRA, son odyssée le mènera aux quatre coins de la planète... Dans une
  langue drôle, âpre, lyrique et d'une prodigieuse puissance évocatoire,
  Sebastian Barry compose l'épopée moderne d'un "" enfant du siècle "",
  ballotté par les tumultes de l'Histoire.",9782264031389,2004,294,fr,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=411.webp,BARRY,Sebastian,,Sebastian BARRY
412,Vie pratique,La voix libérée,"Un homme, ancien taulard, raconte son parcours pour se reconstruire. Il décrit ses années de prison, sa réinsertion dans la société, et comment il a réussi à se libérer de ses chaînes, grâce à la littérature.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=412.webp,BARTHELEMY,Yves,,Yves BARTHELEMY
413,Philosophie,Fragments d'un discours amoureux,"Le désir de connaître mais aussi la troublante expérience de l'embarras
  et du tâtonnement confèrent à la réflexion philosophique sa dimension
  érotique. Pour les mêmes raisons, l'amour est philosophie : l'amoureux
  s'arrache à son propre point de vue pour porter sur lui-même et le monde le
  regard d'autrui, subit l'épreuve du doute après l'enthousiasme et nourrit sa
  réflexion d'incertitudes. Il ne sait plus ce qu'il sait, cherche ses mots, ne
  sait comment définir l'être aimé et craint d'être sot. Cette hésitation
  essentielle l'affranchit de la présomption et de l'idiotie. L'idiot, en
  effet, ne connaît pas l'amour et ses dérèglements : il est partout chez lui,
  jamais troublé ni dérangé par personne.",,1977,,eng,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=413.webp,BARTHES,Roland,,Roland BARTHES
414,Philosophie,La chambre claire,"""Examining the themes of presence and absence, the relationship
  between photography and theatre, history and death, these 'reflections on
  photography' begin as an investigation into the nature of photographs. Then,
  as Barthes contemplates a photograph of his mother as a child, the book
  becomes an exposition of his own mind.""--Alibris.",,1980,,eng,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=414.webp,BARTHES,Roland,,Roland BARTHES
415,Philosophie,L'empire des signes,"L'empire des signes "" Ne décrivant ni ne définissant, le haïku
  (j'appelle ainsi finalement tout trait discontinu, tout événement de la vie
  japonaise, tel qu'il s'offre à ma lecture), le haïku s'amincit jusqu'à la
  pure et seule désignation. C'est cela, c'est ainsi, dit le haïku, c'est tel.
  Ou mieux encore : Tel ! dit-il, d'une touche si instantanée et si courte
  (sans vibration ni reprise) que la copule y apparaîtrait encore de trop,
  comme le remords d'une définition interdite, à jamais éloignée. Le sens n'y
  est qu'un flash, une griffure de lumière. "" Roland Barthes (1915-1980)
  Sémiologue, essayiste, il a élaboré une pensée critique singulière, en
  constant dialogue avec la pluralité des discours théoriques et des mouvements
  intellectuels de son époque, tout en dénonçant le pouvoir de tout langage
  institué. Il est notamment l'auteur du Degré zéro de l'écriture (1953) et de
  Fragments d'un discours amoureux (1977).",,1970,,fre,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=415.webp,BARTHES,Roland,,Roland BARTHES
416,Littérature étrangère,Dans les monts Loyauté,"Rick Bass a dédié son premier livre,
  "" Dans les monts Loyauté "", à Jim Harrison et Tom McGuane et, à
  leur suite, sonde le cœur de la nature sauvage et celui non moins sauvage de
  l'homme. Ainsi, un narrateur se rappelle ses virées de jeunesse dans les
  collines avec un oncle bambocheur dont les frasques prennent
  rétrospectivement un sens inédit. Ou bien c'est un jeune boxeur qui attend sa
  centième victoire dans de glauques combats de tripot avant de passer
  professionnel à New York. Des enfants mettent des masques de loup pour
  traquer un garçon dans la forêt... Chaque nouvelle est un récit mythique,
  l'emblème d'un conflit ou d'une connivence, la révélation d'une vérité
  essentielle, d'une loyauté vitale. Comme l'a écrit François Jacquemont dans l'Est
  républicain : "" Avec Rick Bass, le lecteur européen le plus avachi fait
  le plein d'énergie. """,9782264025982,1998,190,fr,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=416.webp,BASS,Rick,,Rick BASS
417,Littérature étrangère,Platte River,,,1994,,eng,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=417.webp,BASS,Rick,,Rick BASS
418,Littérature étrangère,L'odeur du foin,"Ce recueil de nouvelles, situé à Ferrare, explore les thèmes de l'amour, de la mort et de la mémoire. Bassani y dépeint la nostalgie des souvenirs de son enfance et de son adolescence.",,1979,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=418.webp,BASSANI,Giorgio,,Giorgio BASSANI
419,Littérature étrangère,Le jardin des Finzi-Contini,"Durant les années 1930, à Ferrare, un jeune homme de la bourgeoisie juive tombe amoureux de la belle Micol Finzi-Contini. Le roman dépeint l'histoire de cette famille aristocratique et les menaces de l'antisémitisme.",,1975,,fre,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=419.webp,BASSANI,Giorgio,,Giorgio BASSANI
420,Littérature française,Mer agitée à très agitée,"Après des années new-yorkaises
  intenses et dangereuses, Maryline et William Halloway s'installent sur la
  côte bretonne pour commencer une nouvelle vie, paisible et discrète. Mais un
  matin de juillet, le petit monde de Maryline vacille lorsque Simon Schwartz,
  son amour de jeunesse, met le pied dans la porte.",,2014,,fre,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=420.webp,BASSIGNAC,Sophie,,Sophie BASSIGNAC
421,Psychologie,Graphologie - le psychisme et ses troubles,"L’écriture est un mode d’expression qui met en jeu la personnalité tout
  entière, aussi bien physique que psychique. C’est un mode de communication,
  et à ce titre elle doit respecter des formes convenues. Toutefois ces formes
  ne sont pas reproduites comme une calligraphie, mais adaptées par chacun pour
  produire un tracé personnel dans lequel vont s’inscrire les expériences, les
  goûts, les modèles d’identification, également l’état de santé physique et
  mental du scripteur. Il est donc normal de trouver dans l’écriture des signes
  qui témoignent d’états pathologiques divers et plus sélectivement la
  pathologie mentale. Les auteurs du livre, qui sont à la fois graphologues et
  psychologues de formation, ont une longue expérience clinique, ce qui leur a
  permis de rassembler un nombre très important d’écritures de personnalités
  ayant des troubles psychiques plus ou moins graves. Grâce à son titre
  d’expert près les tribunaux, Denise de Castilla a eu l’occasion de tester en
  milieu carcéral aussi ",9782221227282,1990,394,fr,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=421.webp,BASTIN Christiane/ CASTILLA (de) Denise,,,BASTIN Christiane/ CASTILLA (de) Denise
422,Littérature française,Annam,"""In 1788, a handful of French monks and nuns set sail fro Vietnam.
  They preach the Gospels to the peasants of these unknown tropics, and only by
  chance learn from passing ships about the terror of the Revolution, the death
  of their King, and the oppression of their Church. After 1792 there is no
  further news--Europe has forgotten them. In their years of trial these
  valorous men and women both abandon everything and reinvent everything. The
  jungle, by its ordeals and its beauties, transforms them; in it they will
  live and die, having forgotten God in the struggle.""--Page 4 of cover",,1993,,spa,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=422.webp,BATAILLE,Christophe,,Christophe BATAILLE
423,Littérature étrangère,Naples,"Ce recueil de nouvelles, écrit par cinq auteurs, dresse un portrait sombre et fascinant de Naples. Chaque récit explore les mystères et les légendes de la ville, entre violence, amour et secrets.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=423.webp,BATTISTI C/BUSINO J.J/ LUCARELLI C/POUY/TOPIN T,,,BATTISTI C/BUSINO J.J/ LUCARELLI C/POUY/TOPIN T
424,Théatre,Le scaphandre et le papillon,"Ce récit autobiographique retrace la vie de Jean-Dominique Bauby après un accident vasculaire cérébral qui l'a rendu tétraplégique. Il raconte comment, grâce à l'aide d'une orthophoniste, il parvient à communiquer en clignant de l'œil, décrivant son univers intérieur.",,1997,,kor,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=424.webp,BAUBY,Jean-Dominique,,Jean-Dominique BAUBY
425,Littérature française,Antigone,"Le journal de l'écrivain couvre les années 1992 à 1997, années pendant
  lesquelles il a écrit son roman 'Antigone'. Une réflexion au jour le jour sur
  le processus de création.",,1997,,fre,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=425.webp,BAUCHAU,Henry,,Henry BAUCHAU
